index,axis-0,axis-1,label
0,50.2186353283551,483.6286982623743,positive
1,153.66091740203638,553.0266849700339,positive
2,140.5669576458742,496.72265801853644,positive
3,18.13843392575773,504.5790338722338,positive
4,50.873333316163205,552.3719869822257,negative
5,22.06662185260639,454.82198679881753,negative
6,86.22702465780111,571.358228628661,negative
7,11.591454047676635,479.0458123477175,negative
8,22.721319840414502,552.3719869822257,negative
9,203.4179644754527,499.341449969769,negative
