index,axis-0,axis-1,label
0,549.1190690860726,78.39605617741967,positive
1,608.0370659901203,114.71536933744909,positive
2,566.8751777420869,216.4094461855314,positive
3,527.3274811900549,277.7487306335811,positive
4,511.18556423004185,180.89722887350268,negative
5,637.8996123661445,191.38947489751115,negative
6,515.2210434700451,209.14558355352557,negative
7,512.7997559260432,115.52246518544973,negative
8,646.7776666941515,213.18106279352878,negative
9,491.0081680300255,199.4604333775177,negative
10,572.5248486780915,167.17659945749153,positive
11,525.7132894940537,236.58684238554775,positive
12,540.2410147580654,222.05911712153602,positive
