index,axis-0,axis-1,label
0,455.4959507179968,167.17659945749153,positive
1,484.55140124602025,103.41602746543992,positive
2,539.4339189100647,29.163209449379792,positive
3,598.3519158141123,12.214196641366073,positive
4,516.0281393180458,170.40498284949416,negative
5,539.4339189100647,102.60893161743928,negative
6,401.420528901953,8.985813249363503,negative
7,383.66442024593863,134.0856696894648,negative
8,445.81080054198884,15.4425800333687,negative
9,575.7532320700941,66.28961845740986,negative
10,528.9416728860563,142.15662816947128,negative
11,523.2920019500516,125.20761536145756,negative
