index,axis-0,axis-1,label
0,244.8439343898262,182.51142056950397,positive
1,257.75746795783664,218.02363788153275,positive
2,290.84839772586344,254.34295104156217,positive
3,266.6355222858438,289.0480725055902,positive
4,235.15878421381836,341.5093026256327,positive
5,185.11884163777785,342.3163984736334,positive
6,207.71752538179612,384.2853825696674,positive
7,292.4625894218647,194.61785828951378,negative
8,184.31174578977715,264.02810121757,negative
9,265.02133058984253,381.0569991776647,negative
10,205.29623783779414,230.9371714495432,negative
11,228.7020174298131,252.72875934556077,negative
12,233.54459251781702,278.5558264815818,negative
13,348.9592987819105,253.53585519356147,negative
14,329.58899842989484,213.18106279352878,negative
15,217.40267555780395,226.90169220953993,negative
16,278.7419600058536,168.79079115349288,negative
17,268.24971398184516,363.30089052165033,negative
