index,axis-0,axis-1,label
0,434.5263541717153,465.9518525915554,positive
1,339.5951459395394,413.57601356690657,positive
2,363.81897148843944,598.8555441166015,positive
3,334.35756203707456,605.4025239946826,positive
4,335.66695801269077,496.72265801853644,negative
5,344.1780318541962,456.13138277443375,negative
6,544.5156161234777,513.7448057015473,negative
7,344.8327298420043,588.3803763116719,positive
8,342.86863587858,622.4246716776935,positive
9,330.42937411022587,534.6951413114068,negative
10,496.72266301348566,462.02366466470664,negative
11,317.9901123418718,433.871651188958,negative
