index,axis-0,axis-1,label
0,691.8226633803023,145.80453655338985,positive
1,758.6018581367294,103.90386533367084,positive
2,757.9471601489213,39.088764540667995,positive
3,695.7508513071509,90.15520758970052,negative
4,772.3505158806997,177.23003996817906,negative
5,754.0189722220726,158.89849630955203,negative
6,681.3474955753725,104.55856332147894,negative
7,716.0464889292023,105.86795929709515,negative
8,683.966287526605,81.64413374819512,negative
9,737.6515225268699,120.92601301668165,positive
10,669.5629317948266,110.4508452117519,negative
